ds;y
2017-1;20243
2017-2;16431
2017-3;17147
2017-4;14550
2017-5;15574
2017-6;14579
2017-7;14508
2017-8;15200
2017-9;14377
2017-10;15806
2017-11;15084
2017-12;17692
2018-1;22099
2018-2;16875
2018-3;16751
2018-4;16167
2018-5;15054
2018-6;14392
2018-7;14879
2018-8;14760
2018-9;14535
2018-10;16517
2018-11;15701
2018-12;18057
2019-1;21144
2019-2;16178
2019-3;17070
2019-4;16189
2019-5;15807
2019-6;14674
2019-7;15453
2019-8;14793
2019-9;14625
2019-10;16527
2019-11;16547
2019-12;19053
2020-1;21111
2020-2;17623
2020-3;15984
2020-4;12741
2020-5;13618
2020-6;14447
2020-7;15510
2020-8;14649
2020-9;14890
2020-10;16098
2020-11;15091
2020-12;19313
2021-1;20752
2021-2;18328
2021-3;17540
2021-4;15602
2021-5;15487
2021-6;15152
2021-7;15281
2021-8;15173
2021-9;14691
2021-10;15897
2021-11;16880
2021-12;21677
2022-1;20394
2022-2;16357
2022-3;18649
2022-4;16100
2022-5;16550
2022-6;15363
2022-7;15401
2022-8;16153
2022-9;15577
2022-10;16063
2022-11;15299
2022-12;20801
2023-1;21657
2023-2;18511
2023-3;19393
2023-4;16917
2023-5;17485
2023-6;16164
